Nicenazmun,	Shopping & retail · Clothing (brand),	https://www.facebook.com/Nicenazmun,	01711-227129,	1359 likes,	Wednesday 3 February 2021 at 05:39,	Tuesday 2 February 2021 at 08:11,	
Gaonershaad,	Product/service,	https://www.facebook.com/Gaonershaad,	01714-109509,	1496 likes,	Thursday 3 December 2020 at 03:20,	Saturday 3 October 2020 at 03:50,	
dressemporium4070,	Women's clothes shop · Beauty shop · E-commerce website,	https://www.facebook.com/dressemporium4070,	01765-290018,	2006 likes,	Sunday 9 August 2020 at 12:59,	Thursday 20 August 2020 at 15:15,	
VALANCIASSECRET,	Women's clothes shop · Product/service · Lingerie & underwear shop,	https://www.facebook.com/VALANCIASSECRET,	01304-768916,	41781 likes,	Thursday 4 February 2021 at 05:21,	Tuesday 1 September 2020 at 00:37,	
itquans04,	Boutique shop,	https://www.facebook.com/itquans04,	,	1518 likes,	Wednesday 3 February 2021 at 07:51,	Sunday 24 January 2021 at 22:19,	
zest.hutt,	Sweet Shop · Shopping & retail,	https://www.facebook.com/zest.hutt,	,	352 likes,	Wednesday 25 November 2020 at 09:46,	Wednesday 25 November 2020 at 09:45,	
satrongsilverhouse07,	Jewellery & watches shop · Jewellery & watches company · Jewellery wholesaler,	https://www.facebook.com/satrongsilverhouse07,	01680-901354,	21637 likes,	Tuesday 12 January 2021 at 11:25,	Tuesday 5 January 2021 at 11:02,	
Luckygamingshopofficial,	Business service,	https://www.facebook.com/Luckygamingshopofficial,	01908025212,	7154 likes,	Tuesday 2 February 2021 at 11:12,	Saturday 23 January 2021 at 11:28,	
nishchintodotcom,	E-commerce website,	https://www.facebook.com/nishchintodotcom,	01842-030300,	3477 likes,	Monday 1 February 2021 at 21:06,	Friday 29 January 2021 at 21:51,	
banglatuneforall,	,	https://www.facebook.com/banglatuneforall,	01556-496251,	51131 likes,	,	,	
naharfashion88,	Women's clothes shop · Product/service,	https://www.facebook.com/naharfashion88,	01861-671390,	1846 likes,	Friday 1 January 2021 at 03:19,	Wednesday 2 December 2020 at 10:48,	
artholictimu,	Art · Arts and crafts shop · Arts and entertainment,	https://www.facebook.com/artholictimu,	01533-598517,	1464 likes,	Saturday 16 January 2021 at 08:50,	Wednesday 20 January 2021 at 19:36,	
rongdhonuboutique13,	Women's clothes shop,	https://www.facebook.com/rongdhonuboutique13,	01550-028000,	11320 likes,	Tuesday 13 October 2020 at 08:49,	Tuesday 6 October 2020 at 10:15,	
dressqueenfashion,	Fashion designer · Clothing (brand),	https://www.facebook.com/dressqueenfashion,	01629-052393,	1502 likes,	Friday 8 January 2021 at 01:57,	Monday 7 December 2020 at 09:22,	
ORFashionbd,	Women's clothes shop,	https://www.facebook.com/ORFashionbd,	-01531930188 or massages for any information .,	4869 likes,	,	,	
ArrowStyleLover,	Product/service · Jewellery/watches · Women's clothes shop,	https://www.facebook.com/ArrowStyleLover,	,	1010 likes,	Thursday 17 December 2020 at 01:10,	Sunday 29 November 2020 at 07:41,	
bdbooking,	Tour guide,	https://www.facebook.com/bdbooking,	01818-774550,	1022 likes,	,	,	
LipstickMart,	Cosmetics shop,	https://www.facebook.com/LipstickMart,	01822-396446,	5722 likes,	Friday 13 November 2020 at 11:53,	Friday 13 November 2020 at 12:03,	
tanhabdshopcom,	E-commerce website · Shopping & retail,	https://www.facebook.com/tanhabdshopcom,	01944-003161,	4828 likes,	Friday 5 February 2021 at 10:29,	Wednesday 7 October 2020 at 09:07,	
navinmotors,	Motorbike dealership · Motorcycle repair centre,	https://www.facebook.com/navinmotors,	01919-573570,	727 likes,	Friday 5 February 2021 at 22:35,	Friday 5 February 2021 at 08:21,	
AfifaFashionbd,	Fabric shop,	https://www.facebook.com/AfifaFashionbd,	01309-004282,	10457 likes,	Thursday 1 October 2020 at 09:53,	Tuesday 6 October 2020 at 00:39,	
silken.fb,	Clothing (brand),	https://www.facebook.com/silken.fb,	01790-890598,	28045 likes,	Friday 5 February 2021 at 22:40,	Sunday 30 August 2020 at 09:03,	
zooxonshop,	Shopping & retail · E-commerce website,	https://www.facebook.com/zooxonshop,	01911-016155,	16603 likes,	Tuesday 26 January 2021 at 10:30,	Sunday 31 January 2021 at 09:07,	
DossiLifestyle,	Women's clothes shop,	https://www.facebook.com/DossiLifestyle,	01515-687845,	96899 likes,	Tuesday 10 November 2020 at 21:52,	Sunday 13 September 2020 at 03:25,	
tabassum262662,	Photographer,	https://www.facebook.com/tabassum262662,	,	842 likes,	Tuesday 26 January 2021 at 01:47,	Tuesday 26 January 2021 at 07:30,	
